FIRE_NAME,FIRE_SIZE,STATE,FIRE_YEAR,STAT_CAUSE_DESCR
BARRETT,124.0,CA,2005,Campfire
PRINGLE,78.9,MO,2005,Debris Burning
FORK,11936.0,NM,2005,Lightning
CRAIG,400.0,FL,2005,Railroad
JACKS POINT,245.0,CO,2005,Lightning
JOHNNY RIDGE,317.0,MT,2005,Lightning
SEVEN SPRINGS,85.0,MO,2005,Debris Burning
MINE,146.09,MO,2005,Miscellaneous
RIGGS CEMETERY,76.0,MO,2005,Arson
FOUR POINTS,387.29,MO,2005,Miscellaneous
TODD HOLLOW,156.1,MO,2005,Arson
ERICKSON SPRING,2700.0,MT,2005,Lightning
MASON,11357.0,CO,2005,Lightning
SQUAW CR,55.0,MT,2005,Equipment Use
CAMEAHWAIT,70.0,MT,2005,Miscellaneous
HAW CREEK,121.0,OK,2005,Arson
CHARLIE,206.0,CO,2005,Lightning
BEATY CANYON,820.0,CO,2005,Lightning
MOORE DRAW,595.0,CO,2005,Equipment Use
WINDY,51.0,MO,2005,Debris Burning
AMOEBA,190.0,MO,2005,Arson
ANDERSON,58.2,MO,2005,Arson
SHORT CREEK FIRE,185.0,AR,2005,Lightning
POTAMUS,54.5,OR,2005,Lightning
WINNIPEG,101.87,MO,2005,Arson
FREEMAN,592.0,MO,2005,Debris Burning
BURNT CABIN,1977.0,OR,2005,Miscellaneous
WILLOW,135.0,NM,2005,Lightning
CAMP FIVE,775.0,SD,2005,Campfire
TROUT 1,60.0,NV,2005,Lightning
RICCO,3959.0,SD,2005,Lightning
CEMENT,3025.0,WY,2005,Lightning
SUCCESS,138.0,MO,2005,Miscellaneous
COBB,107.0,MO,2005,Arson
HIDAWAY,150.0,OR,2005,Miscellaneous
BEARTRAP CREEK,90.0,MT,2006,Campfire
UNDERWOOD HILL FIRE,66.0,MI,2005,Equipment Use
PLUM CANYON,995.0,CO,2005,Lightning
123,65.0,AR,2005,Campfire
CEDAR,247.0,ID,2005,Lightning
BINION FIRE,303.0,OH,2005,Equipment Use
W-55A #2,77.0,AR,2005,Lightning
RAMSEY,112.0,OK,2005,Arson
BERRY MEADOWS,495.0,MT,2005,Miscellaneous
REBEL,145.0,MO,2005,Debris Burning
PRIVATE,107.0,MO,2005,Debris Burning
WELLS FIRE,84.0,MO,2005,Miscellaneous
KELLEY FIRE,75.0,MO,2005,Arson
BARNES CEMETERY,104.0,MO,2005,Arson
GUM FIRE,56.0,MO,2005,Arson
CLOVER,775.0,CA,2005,Miscellaneous
MACE,191.0,CA,2005,Equipment Use
REREG #2,110.0,OK,2005,Arson
BRECK,72.0,CA,2005,Miscellaneous
COUGAR,104.0,CA,2005,Lightning
STALLION FORK,117.0,KY,2005,Arson
WILDHORSE,600.0,ID,2005,Campfire
VALLE,82.0,NM,2005,Lightning
CONVERSE,87.0,CA,2005,Equipment Use
WINDY FIRE,96.0,MO,2005,Arson
MARTIN SPRING,198.0,MO,2005,Miscellaneous
MARTIN SPRINGS 2,106.0,MO,2005,Miscellaneous
PIPELINE FIRE,87.0,MO,2005,Miscellaneous
HAPPY HOLLOW FIRE,86.75,MO,2005,Arson
SHETLEY CREEK,54.0,MO,2005,Miscellaneous
GRASS SPRINGS,547.0,NV,2005,Arson
HALE GULCH,2643.0,ID,2005,Lightning
ELLISTON COMPLEX,100.0,MT,2005,Railroad
BIG DRY,310.0,AZ,2005,Lightning
SPONGE CREEK,449.0,ID,2005,Lightning
MARCOOT,178.7,MO,2005,Arson
BUCKSNORT,95.9,MO,2005,Debris Burning
HILLARD,88.0,AR,2005,Arson
CAMELS HUMP,274.0,MO,2005,Miscellaneous
SNAKE RIDGE FIRE,1900.0,AZ,2005,Lightning
SILVER CREEK,78.0,ID,2005,Lightning
SUNFLOWER,385.0,AZ,2005,Lightning
RATTLESNAKE,59.0,ID,2005,Lightning
STODDARD CREEK POINT,4004.0,ID,2005,Lightning
WEST FORK,369.0,ID,2005,Lightning
MOYER BASIN,83.0,ID,2005,Lightning
HELIX,125.0,ID,2005,Lightning
CROOKED,73.4,MO,2005,Arson
BIG SANDS,2398.0,ID,2005,Lightning
ALPINE LAKE,1335.0,MN,2005,Lightning
CAMBER,293.0,VA,2005,Arson
RUNNING LAKE,7404.0,ID,2005,Lightning
ARROW CREEK,60.0,ID,2005,Lightning
CEDAR BAREFOOT,1777.5,ID,2005,Lightning
LODGEPOLE HUMP,1981.5,ID,2005,Lightning
MILL CREEK,7892.0,UT,2005,Lightning
MUD LAKE,268.0,ID,2005,Lightning
WYLIES,817.0,ID,2005,Lightning
BLUE SPRINGS,400.0,OK,2005,Arson
YANT,522.0,UT,2005,Lightning
WAHOO,99.0,ID,2005,Lightning
UPPER MEADOW,600.0,ID,2005,Lightning
BUTTE LAKE,189.0,ID,2005,Lightning
RATTLESNAKE,221.0,NV,2005,Lightning
ROCKY POINT,100.0,ID,2005,Lightning
CENTER,687.0,ID,2005,Lightning
BELL POINT,153.0,ID,2005,Lightning
BLEAK,57.0,ID,2005,Lightning
BOXCAR,1818.0,ID,2005,Lightning
WIEDEMAN HOLLOW,115.0,IL,2005,Debris Burning
AIRPORT,640.0,NM,2005,Lightning
BEAVER JACK,7244.4,ID,2005,Lightning
DEVIL,147.0,ID,2005,Lightning
BURNT,4530.0,ID,2005,Lightning
OAK,125.0,CA,2005,Equipment Use
MUNZ,800.0,CA,2005,Miscellaneous
CHINA TEN,1859.0,ID,2005,Lightning
RAY LOVETT,82.0,AR,2005,Lightning
BIG,65.0,WY,2005,Lightning
COTTONWOOD,300.0,UT,2005,Lightning
400,146.0,AR,2005,Equipment Use
HARDING,2270.0,CA,2005,Miscellaneous
KELLY POINT,3875.0,MT,2005,Campfire
LIMESTONE PEAK,188.0,MT,2005,Lightning
SCHOOL,52000.0,WA,2005,Miscellaneous
HASTINGS,1180.3,NV,2005,Lightning
ELK CREEK,1335.0,ID,2005,Lightning
WOUNDED DOE,559.0,ID,2005,Lightning
BRUSHY FORK,394.0,ID,2005,Lightning
PENNY,1067.0,ID,2005,Lightning
MEADOW,73.0,ID,2005,Lightning
HARRISBURG CREEK,540.0,UT,2005,Lightning
JOHNSON,80.0,CA,2005,Lightning
CHICKEN HOUSE,618.0,OR,2005,Lightning
NINE SHOT,20400.0,ID,2005,Lightning
REYNOLDS LAKE,4010.0,ID,2005,Lightning
MUSTANG,1040.0,ID,2005,Lightning
BLACK CANYON FACE,2000.0,ID,2005,Lightning
LONG CREEK,160.0,ID,2005,Lightning
REED HOLLOW FIRE,120.0,MO,2005,Arson
SKYE,230.0,CA,2005,Campfire
OCTOBER,122.0,NM,2005,Lightning
CAP KNOB,1555.0,KY,2005,Arson
NORTH ROAD,12855.0,NV,2005,Debris Burning
GREGORY,1132.0,ID,2005,Equipment Use
WILDHORSE CREEK,50.1,CO,2005,Miscellaneous
RIO BLANCO WFU,1182.0,CO,2005,Lightning
WHIPPOORWILL,108.0,KY,2005,Arson
WOOLEY,3225.0,CA,2005,Miscellaneous
THIRSTY RIDGE,166.0,ID,2005,Lightning
LAKE BRANCH,113.0,KY,2005,Arson
GLEN STREET ROAD,59.0,IL,2005,Campfire
LOWER BURN CREEK,1086.0,ID,2005,Lightning
FIRE MOUNTAIN,60.9,ID,2005,Lightning
TRIPLE,520.0,WY,2005,Campfire
JOHNSON,11611.0,NM,2005,Lightning
HELLS 1/2 ACRE CREEK,797.5,ID,2005,Lightning
JONES,114.0,NM,2005,Lightning
HIDDEN CREEK,268.0,ID,2005,Lightning
BUCK PARK #2 WFU,112.0,CO,2005,Lightning
BENNY'S CREEK WFU,135.0,CO,2005,Lightning
BEAR CREEK WFU,5722.0,ID,2005,Lightning
AMERICAN CK N FTP,68.0,SD,2005,Equipment Use
COTTONWOOD,350.0,AZ,2005,Lightning
STRIPE CREEK,4278.7,ID,2005,Lightning
MAHAFFEY,152.0,KY,2005,Arson
MUDERSBACH,7260.0,AZ,2005,Lightning
NORTH,1315.0,AZ,2005,Lightning
CAVE FIRE,652.0,OR,2005,Campfire
UPPER CANYON CREEK,251.8,MT,2005,Lightning
UPPER WHITECAP,163.5,ID,2005,Lightning
APACHE PASS,60.0,AZ,2005,Arson
BLANCA,110.0,AZ,2005,Lightning
DUTCH ROCK,64.0,ID,2005,Arson
FLORIDA,23183.0,AZ,2005,Lightning
VALLEY ROAD,40483.0,ID,2005,Debris Burning
TURNER,228.0,AZ,2005,Campfire
WATCH IT,738.2,MT,2005,Lightning
WATCHTOWER,76.8,ID,2005,Lightning
WHITE CAP LAKE,160.3,MT,2005,Lightning
BURNT STRIP MOUNTAIN,8580.0,ID,2005,Lightning
GABE CREEK,53.0,ID,2005,Lightning
CRAG,1185.0,CA,2005,Lightning
FLAT,218.0,AR,2005,Arson
SPRING,99.0,AR,2005,Arson
HALFWAY CREEK,165.1,ID,2005,Lightning
HAYSTACK,271.0,ID,2005,Lightning
WEDDING,80.0,AZ,2005,Miscellaneous
NEZ PERCE PEAK,262.7,ID,2005,Lightning
INDIAN CREEK,593.0,OK,2005,Arson
SPOT MOUNTAIN,355.8,ID,2005,Lightning
SWEET HOME,266.0,AR,2005,Arson
TURKEY,89.0,KY,2005,Arson
STRAIGHT CREEK,228.0,KY,2005,Arson
BULL,77000.0,NM,2005,Lightning
MYSTERY,104.0,NM,2005,Miscellaneous
SIGNAL ROCK,13327.0,MT,2005,Lightning
CB RANCH MUTUAL AID,1708.0,MT,2005,Lightning
RYE CREEK,120.0,MT,2005,Debris Burning
ROCK IN,6869.0,MT,2005,Lightning
MARYSVALE PEAK,761.0,UT,2005,Lightning
SUGARTREE,315.0,AR,2005,Miscellaneous
SAND HILL,122.0,KY,2005,Arson
WAGON ROAD,56.0,KY,2005,Arson
MOUNTAIN,1400.0,NM,2005,Lightning
WHITE,92.0,KY,2005,Arson
LEDFORD,75.0,KY,2005,Arson
ST. CLAIRE,1920.0,AZ,2005,Miscellaneous
PARKWAY,140.0,KY,2005,Arson
PEPPIN,64488.0,NM,2004,Lightning
103 FIRE,120.0,AZ,2005,Campfire
EL CAPITAN CREEK,466.0,MT,2005,Lightning
BEBOUT,62.0,IL,2005,Arson
ELK LAKE,150.0,MT,2005,Lightning
KNOX,300.0,KY,2005,Arson
SWEENEY LAKE,65.0,MT,2005,Lightning
HONEYCUT #2,52.0,AR,2005,Arson
MT. GEORGE,858.9,ID,2005,Lightning
PORTAL,60.0,CA,2005,Lightning
BARE CASTLE,120.0,MT,2005,Lightning
WELCH,51.0,AZ,2005,Miscellaneous
PROSPECT,3200.0,MT,2005,Lightning
ANGELES,530.0,CA,2005,Debris Burning
HAMMER,145.0,TX,2005,Lightning
MELISSA,74.0,TX,2005,Debris Burning
GILBERTS CREEK,2537.0,KY,2005,Arson
TATER,150.0,AZ,2005,Smoking
KILN,100.0,NV,2005,Lightning
HORSE RIDGE,114.0,KY,2005,Arson
BEETLE,4384.92,FL,2005,Arson
SHEEP CREEK WFU,3322.0,UT,2005,Lightning
STARVATION WFU,1349.0,ID,2005,Lightning
CROOKED,75.0,NM,2005,Lightning
BIG DRY CANYON WFU,2098.0,ID,2005,Lightning
GEARY,175.0,CA,2005,Arson
BROOM,98.0,NC,2005,Miscellaneous
NAIL,759.0,AZ,2005,Lightning
BOX CANYON 2,87.0,UT,2005,Lightning
BEAR CANYON,60.0,UT,2005,Lightning
ROCKS,67.0,UT,2005,Lightning
COW HOLLOW WFU,330.0,UT,2005,Lightning
SEVEN BEAVERS FIRE,90.0,MN,2005,Miscellaneous
CHICKEN WFU,115.0,ID,2005,Lightning
JOE CREEK WFU,13866.0,ID,2005,Lightning
BALD MOUNTAIN,95.0,AZ,2005,Lightning
WEST FORK WFU,9933.0,ID,2005,Lightning
WOLF FANG WFU,3933.0,ID,2005,Lightning
WOLVERINE,356.0,CO,2005,Lightning
MISSOURI RIDGE WFU,6775.0,ID,2005,Lightning
RAIL HOLLOW,191.0,MO,2005,Arson
MISSISSIPPI MEADOWS,452.0,MN,2005,Miscellaneous
BRITTANIA,51.0,WY,2005,Lightning
ROCHELLE HILLS,230.0,WY,2005,Lightning
RR MM 41,290.0,WY,2005,Railroad
SWITCHBACK,72.0,NC,2005,Arson
BRUSHY,75.0,NC,2005,Arson
SUTTON TOP,60.0,NC,2005,Children
PHANTON,86.0,TX,2005,Lightning
SOUTH FORK,565.0,UT,2005,Lightning
CHOKECHERRY,347.0,UT,2005,Lightning
RING,499.0,NM,2005,Lightning
BRUSH,499.0,NM,2005,Lightning
COOPER,206.0,NM,2005,Lightning
THUNDER MTN,102.0,MT,2005,Lightning
POTOSI,75.0,NV,2005,Miscellaneous
BUTTE,7962.0,AZ,2005,Lightning
ASH,80.0,AZ,2005,Lightning
STIRLING,100.0,NV,2005,Lightning
PINE CANYON,3922.0,NM,2005,Miscellaneous
BOWENS 3,155.0,KY,2005,Arson
SOLITUDE,128.0,OR,2005,Lightning
TANK,200.0,AZ,2005,Lightning
BLOSSOM,14772.0,OR,2005,Lightning
SYCAMORE,2000.0,AZ,2005,Lightning
MULE PEAK,1400.0,OR,2005,Lightning
FLY,1066.0,OR,2005,Lightning
FALLS CREEK,1445.0,ID,2005,Lightning
SOUTH FORK NORTON CR,600.0,ID,2005,Lightning
WHITE CREEK,440.0,ID,2005,Lightning
043 SIX MILE CREEK,650.0,LA,2005,Miscellaneous
MARBLE,425.0,ID,2005,Lightning
WILL,53.0,AZ,2005,Lightning
PATTERSON,1185.0,ID,2005,Miscellaneous
DIRTY FACE,1150.0,WA,2005,Miscellaneous
SPRING CREEK,1156.0,OR,2005,Equipment Use
FENCE,76.0,OR,2005,Lightning
ALUM #1,275.0,AR,2005,Arson
060 IUA 18,75.0,LA,2005,Miscellaneous
COMMISSARY,304.0,CO,2005,Lightning
OK STATE LINE,6080.0,OK,2005,Smoking
MENEFEE,53.0,AZ,2005,Equipment Use
BAGLEY,438.0,CA,2005,Lightning
BLACK,295.0,AZ,2005,Lightning
071 JENNIFER,902.0,LA,2005,Arson
074 HUNTER,70.0,LA,2005,Arson
POST MTN,85.0,OK,2006,Arson
HAAS RIDGE,2296.0,OR,2005,Lightning
016 CROWELL,1100.0,LA,2005,Miscellaneous
KNOLES,600.0,AZ,2005,Lightning
DEVEREAUX,98.0,AR,2005,Arson
SOUTH,200.0,OK,2006,Arson
WIGGINS,53.1,SC,2005,Arson
EVE,351.0,AR,2005,Arson
FOGHORN LEGHORN,363.1,AL,2005,Arson
CAHABA,241.5,AL,2005,Miscellaneous
BULL SPRINGS,90.0,OR,2005,Lightning
LOSSAW,244.0,OR,2005,Lightning
TURNER CREEK,1419.0,OR,2005,Debris Burning
533,121.0,AL,2005,Arson
K-48,141.0,NM,2005,Miscellaneous
POWERLINE,60.0,NM,2005,Miscellaneous
HUBCAP,195.0,AL,2005,Campfire
ALBERTON EAST,118.0,MT,2005,Miscellaneous
TARKIO,9082.0,MT,2005,Miscellaneous
PAYNES CHAPPEL,204.0,AL,2005,Arson
WORK REST,245.0,MS,2005,Arson
BRIGANCE,74.0,AR,2006,Arson
FISH,145.0,MT,2005,Miscellaneous
WEST MOUNTAIN,1642.0,MT,2005,Miscellaneous
GRIFFIN SPRINGBRANCH,483.0,MS,2005,Arson
HALF MONTE,285.0,MS,2005,Arson
FOREST LAKE,118.45,MS,2005,Arson
WILBURN,119.0,MS,2005,Arson
ZERO,1027.0,MS,2005,Miscellaneous
BLOWOUT,288.0,MS,2005,Debris Burning
WALLER,95.0,MS,2005,Arson
BUDROW,65.0,MS,2005,Arson
BAYOU COSTAPIA,104.0,MS,2005,Debris Burning
DRY POND,63.0,MS,2005,Arson
WHITE STAR FARM,66.0,MS,2005,Debris Burning
HOWELL,136.0,MS,2005,Miscellaneous
RANGE 19,594.0,MS,2005,Miscellaneous
MISSING BUCKET,152.0,MS,2005,Miscellaneous
MUSKEG,305.0,AK,2005,Debris Burning
YOUNGDEER,541.66,MS,2005,Miscellaneous
WHITE CAP,115.0,MS,2005,Miscellaneous
WHITE DOG,5300.0,MS,2005,Miscellaneous
NORTH END,277.0,MS,2005,Miscellaneous
BENCH,80.0,AZ,2005,Lightning
KLINE,95.0,TX,2005,Debris Burning
WARD LAKE,100.0,AR,2006,Campfire
EDGE,72000.0,AZ,2005,Lightning
MESQUITE,500.0,AZ,2005,Miscellaneous
GOST,550.0,AZ,2005,Miscellaneous
BOULDER,250.0,AZ,2005,Lightning
FOUR,3000.0,AZ,2005,Lightning
MEMORIAL,650.0,AZ,2005,Miscellaneous
MILES,1056.0,AZ,2005,Lightning
TOM'S CREEK,168.2,MO,2006,Arson
HENDRIX,248.0,AR,2006,Lightning
HICKORY HOLLOW,211.4,MO,2006,Arson
KIMES TOWER #2,405.0,AR,2006,Arson
WINDY,326.0,KY,2006,Arson
SCHOOL LEASE,106.0,MS,2006,Arson
ROCK PILE,124.0,AR,2006,Lightning
BRITTON BRANCH,332.0,KY,2006,Arson
TUTTLE,100.0,KY,2006,Arson
SPRING,70.0,NM,2006,Lightning
KINGS ARROW,98.0,MS,2006,Arson
PERSIMMON HILL,290.0,MS,2006,Arson
OP-6,200.0,MS,2006,Miscellaneous
LEEBULL,155.0,MS,2006,Miscellaneous
RC,95.0,AR,2006,Arson
LAUREL BRANCH,66.0,NC,2006,Miscellaneous
BULLSKIN,123.0,KY,2006,Arson
CAMDEN,196.0,MO,2006,Debris Burning
CAT HOLLOW,175.0,KY,2006,Debris Burning
46 ALPHA,200.0,MS,2006,Miscellaneous
CORDESVILLE,75.0,SC,2006,Arson
DEER HIDE,343.0,KY,2006,Arson
APALACHIA LAKE,112.0,NC,2006,Arson
ICE CREAM,540.0,OK,2006,Lightning
CFI,71.0,MO,2006,Arson
CUPOLA,371.0,MO,2006,Arson
HODO FIRE,317.0,MO,2006,Arson
LOST FIRE,100.0,IN,2006,Miscellaneous
CHURCH,408.0,MS,2006,Arson
CFI2,71.0,MO,2006,Arson
YOKE,96.0,MO,2006,Arson
NO MANS LAND,8294.0,AR,2006,Lightning
SCHOOL HOUSE HOLLOW,539.0,MO,2006,Miscellaneous
SOUTH BRANCH,86.0,MO,2006,Debris Burning
LOST TRACE,164.0,KY,2006,Miscellaneous
EAST PRONG,184.0,MO,2006,Arson
BLUE BRANCH,282.0,OK,2006,Arson
FREEMAN FIRE,360.0,AR,2006,Debris Burning
OLD ALDRIDGE,212.0,TX,2006,Arson
SHERWOOD CREEK,96.0,TX,2006,Arson
WALKER,80.0,OK,2006,Debris Burning
LOW GAP,71.0,MO,2006,Arson
BROOKS CREEK,150.0,MO,2006,Arson
CROOKED TRUCK TRAIL,542.0,MO,2006,Miscellaneous
CROSSVILLE,147.0,MO,2006,Miscellaneous
NEW HARMONY CHURCH,210.0,MO,2006,Debris Burning
TROUT CREEK,181.0,MT,2006,Campfire
WELLS MTN.,75.4,GA,2006,Miscellaneous
NEWBY,401.0,OK,2006,Miscellaneous
WINDY,6343.0,OK,2006,Miscellaneous
CEDAR VALLEY,90.0,NC,2006,Debris Burning
SHAW,120.0,OK,2006,Miscellaneous
I-40,427696.0,TX,2006,Miscellaneous
RED BARN,340.0,MS,2006,Debris Burning
MINER,80.0,OK,2006,Miscellaneous
VIPER,165.0,TX,2006,Arson
522,306.0,TX,2006,Arson
GREY FOX,138.0,MS,2006,Arson
AIRSTRIP,228.0,MS,2006,Debris Burning
OPIE,85.0,MS,2006,Arson
SKIRT CHASER,235.88,MS,2006,Arson
DISMAL EAST,155.1,NE,2006,Lightning
HWY 28,179.5,GA,2006,Miscellaneous
BUCKVILLE,94.3,AR,2006,Debris Burning
KABASH,82.0,MS,2006,Debris Burning
HELL FOR CERTAIN 2,152.0,KY,2006,Miscellaneous
ROUGH CREEK,99.0,GA,2006,Arson
RAILROAD HOLLOW,264.0,MO,2006,Arson
SQUARE TOP,1000.0,OK,2006,Equipment Use
CRAWFORD,300.0,OK,2006,Miscellaneous
017 CHERRY,128.0,LA,2006,Equipment Use
BIG DOUBLE,94.0,KY,2006,Miscellaneous
027 SEALS,150.0,LA,2006,Debris Burning
SPRINGVIEW II,66.6,SC,2006,Arson
SAND HILL 2,85.0,KY,2006,Arson
RICHARDSON,121.0,CO,2006,Equipment Use
STEELER,2380.0,KS,2006,Arson
BUZZARD ROOST,80.0,SC,2005,Miscellaneous
FLATSIDE,5091.0,AR,2006,Lightning
DUTCH MTN #2,122.0,AR,2006,Arson
LAUREL BRANCH,66.0,NC,2006,Debris Burning
RAY CREEK,96.0,NC,2006,Miscellaneous
UGLY,310.0,SC,2006,Miscellaneous
HOMESTEAD PARK,188.0,WY,2006,Miscellaneous
TICK FIRE,400.0,OK,2006,Arson
BUTLER,241.0,TX,2006,Debris Burning
BRUSHY BRANCH,115.0,FL,2006,Arson
NOT MINE,86.0,MO,2006,Arson
SEVEN,200.0,NM,2006,Lightning
CHALK,514.0,AZ,2006,Lightning
BOMBING RANGE 3,73.0,FL,2006,Equipment Use
055 ROAD 119,201.0,LA,2006,Arson
KNIFE,560.0,AZ,2006,Equipment Use
BULL RUN,885.0,AZ,2005,Lightning
WHITE,110.0,AZ,2006,Lightning
MARYHILL,801.0,WA,2006,Miscellaneous
ORELLA,368.0,NE,2006,Lightning
TAYLOR,1830.0,NM,2006,Lightning
BRUSHY,1701.0,NM,2006,Lightning
CLAYTON,387.0,NM,2006,Lightning
HACKBERRY,2031.0,AZ,2006,Lightning
SAND,1248.0,AZ,2006,Miscellaneous
BONAMI FIRE,100.0,FL,2006,Lightning
DUSTY CONE FIRE,126.0,FL,2006,Debris Burning
AVALON,90.0,UT,2006,Miscellaneous
CHESEBORO,170.0,CA,2006,Arson
FISH CREEK,85.0,AZ,2006,Lightning
PORPHYRY WFU,96.0,ID,2006,Lightning
CAREY,160.0,CA,2006,Arson
GULCH,80.0,AZ,2006,Lightning
HOBBLE CREEK,113.7,UT,2006,Miscellaneous
ROMERO,880.0,AZ,2006,Lightning
SILK MILL FIRE,170.0,GA,2006,Arson
GOODALE,3747.1,CA,2006,Lightning
BURRO,370.0,AZ,2006,Campfire
CHIPPEAN RIDGE,2500.0,UT,2006,Lightning
MAVERICK WFU,295.0,AZ,2006,Lightning
LITTLE SPAR,83.0,MT,2006,Lightning
DRY WASH WFU,128.0,UT,2006,Lightning
JACKASS,6255.0,CA,2006,Lightning
MARTINEZ,3162.0,NM,2006,Lightning
MARTINEZ II,6618.0,NM,2006,Lightning
WILSON,5216.0,NM,2006,Lightning
MCKAY,825.0,OK,2006,Lightning
TINY,95.0,OK,2006,Lightning
PEAK,299.0,AZ,2006,Lightning
BIRD,80.0,AZ,2006,Lightning
HIGHLAND,80.0,CA,2006,Lightning
NUT BASIN,270.0,ID,2006,Equipment Use
WHITEWATER #8,170.0,ID,2006,Miscellaneous
PURCELL,120.0,AZ,2006,Lightning
TIGER,5143.0,AZ,2006,Lightning
WHITE,80.0,CA,2006,Lightning
OAK 2,225.0,CA,2006,Lightning
BEAR PAW,3075.0,NM,2006,Miscellaneous
277,3259.0,FL,2006,Lightning
CHILDS,73.0,AZ,2006,Lightning
SHOOTING RANGE,350.0,CO,2006,Lightning
CARIBOU,248.0,CA,2006,Lightning
TECOLATE,1500.0,CO,2006,Debris Burning
INDIAN,500.0,AZ,2006,Lightning
SOUTH POWELL #1,475.0,AR,2006,Lightning
RUSH,4850.0,CA,2006,Lightning
DRY FORK #3,92.0,AR,2006,Arson
SOWATS,582.0,AZ,2006,Lightning
SADDLE,75.0,AZ,2006,Lightning
WILBURTON,145.0,KS,2006,Debris Burning
BRONCO,112.0,KS,2006,Arson
POCKET,283.0,AZ,2006,Lightning
WEST WFU,1925.0,AZ,2006,Lightning
BAR WFU,193.0,AZ,2006,Lightning
COLE CREEK,1000.0,MT,2006,Lightning
SHANE RIDGE,1000.0,MT,2006,Lightning
SAUNDERS,3000.0,MT,2006,Debris Burning
LION CREEK,1499.0,CO,2006,Miscellaneous
PEAVINE WFU,66.0,UT,2006,Lightning
TRENT ROAD,75.0,NC,2006,Miscellaneous
ARCO,689.09,CA,2006,Miscellaneous
BARTH,165.0,MS,2006,Debris Burning
RIDGE,2418.0,CA,2006,Lightning
SANDY FLATS,132.0,SD,2006,Lightning
EISENBRAUN,72.3,SD,2006,Lightning
RIM,150.0,AZ,2006,Lightning
APPALOOSA,293.0,NV,2006,Lightning
BEAVERHEAD,1497.0,AZ,2006,Miscellaneous
JOHNSON,112.0,CA,2006,Arson
OTTER HOLE,407.0,NC,2006,Miscellaneous
AUGER,137.0,AZ,2006,Lightning
SATURDAY,74.0,SC,2006,Arson
CORNFIELD,1143.0,AZ,2006,Equipment Use
GRANT,190.0,AZ,2006,Lightning
PIPELINE,220.0,AZ,2006,Lightning
COAL MINE,99.0,UT,2006,Lightning
STEED,98.3,UT,2006,Arson
EAST ELK,724.0,ID,2006,Lightning
MOUNTAIN MEADOW,2329.0,ID,2006,Lightning
DOUBLE UP,494.1,NV,2006,Miscellaneous
ROSALEE,115.0,MS,2006,Equipment Use
0579 - GENEVA 3,480.0,OR,2006,Lightning
STONEY,600.0,CA,2006,Equipment Use
UPPER,235.0,ID,2006,Lightning
ROSS SCREE,215.0,MT,2006,Lightning
WALKINGSTICK,209.0,MS,2006,Arson
EVIL TWIN,103.0,MS,2006,Debris Burning
DAY BEFORE,135.0,MS,2006,Equipment Use
ALDER CREEK,94.0,OR,2006,Lightning
SHARPS RIDGE,5394.9,OR,2006,Lightning
CREEK #2,204.0,CA,2006,Miscellaneous
TURKEY,271.0,AR,2006,Lightning
ARRASTRE,361.0,CA,2006,Lightning
